id_ies,nome_ies,organizacao_academica,sistema_de_ensino,categoria_administrativa,situacao_da_ies,UF_PROCESSO,UF_CADASTRO,municipio_processo,municipio_cadastro,uf,PUBLICA_PRIVADA,AMBITO_ADMINISTRATIVO
1046,UNIAO DAS FACULDADES DOS GRANDES LAGOS - UNILAGO,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,ATIVA,SP,SP,São José do Rio Preto,São José do Rio Preto,SP,PRIVADA,FEDERAL
10462,FACULDADE APROVACAO - APROVACAO,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,,PR,,Curitiba,,PR,PRIVADA,FEDERAL
10476,FACULDADE DE IRATI - FACI,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,PR,,Irati,,PR,PRIVADA,FEDERAL
1048,FACULDADE CAMPOS ELISEOS - FCE,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,ATIVA,SP,SP,São Paulo,São Paulo,SP,PRIVADA,FEDERAL
10483,FACULDADE DE TECNOLOGIA DE CAMPINA GRANDE - CAMPIUOL,FACULDADE DE TECNOLOGIA,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,PB,,Campina Grande,,PB,PRIVADA,FEDERAL
10487,FACULDADE SANTO AGOSTINHO - FACSA,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,BA,,Ipiaú,,BA,PRIVADA,FEDERAL
10489,FACULDADES CAMBE - FAC,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,PR,,Cambé,,PR,PRIVADA,FEDERAL
1049,INSTITUTO DE ENSINO SUPERIOR FUCAPI - CESF,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,ATIVA,AM,AM,Manaus,Manaus,AM,PRIVADA,FEDERAL
10493,ESCOLA DE ENSINO FUNDAMENTAL MEDIO E SUPERIOR PRESIDENTE JUSCELINO KUBITSCHEK - EEFMS,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,MA,,Itinga do Maranhão,,MA,PRIVADA,FEDERAL
10502,FACULDADE DE CIENCIAS DA SAUDE HIPOCRATES - FACSAUDEH,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,,DF,,Brasília,,DF,PRIVADA,FEDERAL
1051,FACULDADE DA SEUNE - SEUNE,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,ATIVA,AL,AL,Maceió,Maceió,AL,PRIVADA,FEDERAL
10512,FACULDADE DE CIENCIAS MEDICAS E SAUDE DE CAMPO MOURAO - UNICAMPO,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,,PR,,Campo Mourão,,PR,PRIVADA,FEDERAL
10514,FACULDADE DE TECNOLOGIA MAIS - FATEM,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,,AL,,Maceió,,AL,PRIVADA,FEDERAL
10517,FACULDADE TEOLOGICA BATISTA DO BRASIL - FATEBB,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,,MA,,São Luís,,MA,PRIVADA,FEDERAL
1052,FACULDADE ADVENTISTA DE ADMINISTRACAO DO NORDESTE - FAAD,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,EXTINTA,BA,BA,Cachoeira,Cachoeira,BA,PRIVADA,FEDERAL
1053,CENTRO UNIVERSITARIO DE EXCELENCIA - UNEX,CENTRO UNIVERSITÁRIO,FEDERAL,PRIVADA COM FINS LUCRATIVOS,ATIVA,BA,BA,Feira de Santana,Feira de Santana,BA,PRIVADA,FEDERAL
10539,,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,SC,,Joinville,,SC,PRIVADA,FEDERAL
